2022-02-16 10:17:47,517 [main] INFO  org.springframework.web.servlet.mvc.method.annotation.RequestMappingHandlerMapping(register:550) - Mapped "{[/user/ask]}" onto public java.lang.String net.lele.controller.UserController.ask(org.springframework.ui.Model,net.lele.domain.Ask) throws java.lang.Exception
2022-02-16 10:17:47,517 [main] INFO  org.springframework.web.servlet.mvc.method.annotation.RequestMappingHandlerMapping(register:550) - Mapped "{[/user/fileinsert]}" onto public java.lang.String net.lele.controller.UserController.fileinsert(javax.servlet.http.HttpServletRequest,org.springframework.web.multipart.MultipartHttpServletRequest,org.springframework.ui.Model) throws java.lang.Exception
2022-02-16 10:17:47,517 [main] INFO  org.springframework.web.servlet.mvc.method.annotation.RequestMappingHandlerMapping(register:550) - Mapped "{[/user/asklist]}" onto public java.lang.String net.lele.controller.UserController.asklist(org.springframework.ui.Model) throws java.lang.Exception
2022-02-16 10:17:47,517 [main] INFO  org.springframework.web.servlet.mvc.method.annotation.RequestMappingHandlerMapping(register:550) - Mapped "{[/user/loca]}" onto public java.util.List<net.lele.domain.City> net.lele.controller.UserController.loca(int,org.springframework.ui.Model)
2022-02-16 10:17:47,517 [main] INFO  org.springframework.web.servlet.mvc.method.annotation.RequestMappingHandlerMapping(register:550) - Mapped "{[/user/interest]}" onto public java.lang.String net.lele.controller.UserController.interest(org.springframework.ui.Model) throws java.lang.Exception
2022-02-16 10:17:47,517 [main] INFO  org.springframework.web.servlet.mvc.method.annotation.RequestMappingHandlerMapping(register:550) - Mapped "{[/user/askdetail/{id}]}" onto public java.lang.String net.lele.controller.UserController.askdetail(int,org.springframework.ui.Model) throws java.lang.Exception
2022-02-16 10:17:47,517 [main] INFO  org.springframework.web.servlet.mvc.method.annotation.RequestMappingHandlerMapping(register:550) - Mapped "{[/user/msg/send]}" onto public java.lang.String net.lele.controller.UserController.msgsend(org.springframework.ui.Model) throws java.lang.Exception
2022-02-16 10:17:47,517 [main] INFO  org.springframework.web.servlet.mvc.method.annotation.RequestMappingHandlerMapping(register:550) - Mapped "{[/user/msg/receive]}" onto public java.lang.String net.lele.controller.UserController.msgreceive(org.springframework.ui.Model)
2022-02-16 10:17:47,517 [main] INFO  org.springframework.web.servlet.mvc.method.annotation.RequestMappingHandlerMapping(register:550) - Mapped "{[/user/msg/smsg/{id}]}" onto public java.lang.String net.lele.controller.UserController.sendmsg(int,org.springframework.ui.Model) throws java.lang.Exception
2022-02-16 10:17:47,517 [main] INFO  org.springframework.web.servlet.mvc.method.annotation.RequestMappingHandlerMapping(register:550) - Mapped "{[/user/msg/rmsg/{id}]}" onto public java.lang.String net.lele.controller.UserController.recmsg(int,org.springframework.ui.Model) throws java.lang.Exception
2022-02-16 10:17:47,527 [main] INFO  org.springframework.web.servlet.mvc.method.annotation.RequestMappingHandlerMapping(register:550) - Mapped "{[/error]}" onto public org.springframework.http.ResponseEntity<java.util.Map<java.lang.String, java.lang.Object>> org.springframework.boot.autoconfigure.web.servlet.error.BasicErrorController.error(javax.servlet.http.HttpServletRequest)
2022-02-16 10:17:47,527 [main] INFO  org.springframework.web.servlet.mvc.method.annotation.RequestMappingHandlerMapping(register:550) - Mapped "{[/error],produces=[text/html]}" onto public org.springframework.web.servlet.ModelAndView org.springframework.boot.autoconfigure.web.servlet.error.BasicErrorController.errorHtml(javax.servlet.http.HttpServletRequest,javax.servlet.http.HttpServletResponse)
2022-02-16 10:17:47,567 [main] INFO  org.springframework.web.servlet.handler.SimpleUrlHandlerMapping(registerHandler:372) - Mapped URL path [/webjars/**] onto handler of type [class org.springframework.web.servlet.resource.ResourceHttpRequestHandler]
2022-02-16 10:17:47,577 [main] INFO  org.springframework.web.servlet.handler.SimpleUrlHandlerMapping(registerHandler:372) - Mapped URL path [/**] onto handler of type [class org.springframework.web.servlet.resource.ResourceHttpRequestHandler]
2022-02-16 10:17:48,013 [main] INFO  org.springframework.security.web.DefaultSecurityFilterChain(<init>:43) - Creating filter chain: Ant [pattern='/res/**'], []
2022-02-16 10:17:48,123 [main] INFO  org.springframework.security.web.DefaultSecurityFilterChain(<init>:43) - Creating filter chain: org.springframework.security.web.util.matcher.AnyRequestMatcher@1, [org.springframework.security.web.context.request.async.WebAsyncManagerIntegrationFilter@1991f767, org.springframework.security.web.context.SecurityContextPersistenceFilter@34a1d21f, org.springframework.security.web.header.HeaderWriterFilter@40258c2f, org.springframework.security.web.authentication.logout.LogoutFilter@4e517165, org.springframework.security.web.authentication.UsernamePasswordAuthenticationFilter@39dcf4b0, org.springframework.security.web.savedrequest.RequestCacheAwareFilter@73c60324, org.springframework.security.web.servletapi.SecurityContextHolderAwareRequestFilter@6f0ca692, org.springframework.security.web.authentication.AnonymousAuthenticationFilter@768ccdc5, org.springframework.security.web.session.SessionManagementFilter@6731787b, org.springframework.security.web.access.ExceptionTranslationFilter@34a97744, org.springframework.security.web.access.intercept.FilterSecurityInterceptor@1ce61929]
2022-02-16 10:17:48,226 [main] INFO  org.springframework.jmx.export.annotation.AnnotationMBeanExporter(afterSingletonsInstantiated:433) - Registering beans for JMX exposure on startup
2022-02-16 10:17:48,226 [main] INFO  org.springframework.jmx.export.annotation.AnnotationMBeanExporter(autodetect:895) - Bean with name 'dataSource' has been autodetected for JMX exposure
2022-02-16 10:17:48,226 [main] INFO  org.springframework.jmx.export.annotation.AnnotationMBeanExporter(registerBeanInstance:668) - Located MBean 'dataSource': registering with JMX server as MBean [com.zaxxer.hikari:name=dataSource,type=HikariDataSource]
2022-02-16 10:17:48,283 [main] INFO  org.springframework.boot.web.embedded.tomcat.TomcatWebServer(start:206) - Tomcat started on port(s): 8180 (http) with context path ''
2022-02-16 10:19:07,703 [http-nio-8180-exec-1] INFO  org.springframework.web.servlet.DispatcherServlet(initServletBean:497) - FrameworkServlet 'dispatcherServlet': initialization started
2022-02-16 10:19:07,740 [http-nio-8180-exec-1] INFO  org.springframework.web.servlet.DispatcherServlet(initServletBean:512) - FrameworkServlet 'dispatcherServlet': initialization completed in 36 ms
2022-02-16 10:19:39,669 [Thread-3] INFO  org.springframework.boot.web.servlet.context.AnnotationConfigServletWebServerApplicationContext(doClose:1006) - Closing org.springframework.boot.web.servlet.context.AnnotationConfigServletWebServerApplicationContext@7a5d012c: startup date [Wed Feb 16 10:17:40 KST 2022]; root of context hierarchy
2022-02-16 10:19:39,671 [Thread-3] INFO  org.springframework.jmx.export.annotation.AnnotationMBeanExporter(destroy:451) - Unregistering JMX-exposed beans on shutdown
2022-02-16 10:19:39,671 [Thread-3] INFO  org.springframework.jmx.export.annotation.AnnotationMBeanExporter(unregisterBeans:185) - Unregistering JMX-exposed beans
2022-02-16 10:19:39,679 [Thread-3] INFO  org.springframework.orm.jpa.LocalContainerEntityManagerFactoryBean(destroy:597) - Closing JPA EntityManagerFactory for persistence unit 'default'
